"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","BOP","TOT","PC_GDP","A","1960",-3.699156,
"AUS","BOP","TOT","PC_GDP","A","1961",-0.1483678,
"AUS","BOP","TOT","PC_GDP","A","1962",-0.8635976,
"AUS","BOP","TOT","PC_GDP","A","1963",-0.1732235,
"AUS","BOP","TOT","PC_GDP","A","1964",-1.186808,
"AUS","BOP","TOT","PC_GDP","A","1965",-3.602264,
"AUS","BOP","TOT","PC_GDP","A","1966",-2.009925,
"AUS","BOP","TOT","PC_GDP","A","1967",-2.508705,
"AUS","BOP","TOT","PC_GDP","A","1968",-3.558688,
"AUS","BOP","TOT","PC_GDP","A","1969",-1.895899,
"AUS","BOP","TOT","PC_GDP","A","1970",-1.530206,
"AUS","BOP","TOT","PC_GDP","A","1971",-1.307302,
"AUS","BOP","TOT","PC_GDP","A","1972",1.262492,
"AUS","BOP","TOT","PC_GDP","A","1973",1.150954,
"AUS","BOP","TOT","PC_GDP","A","1974",-2.661924,
"AUS","BOP","TOT","PC_GDP","A","1975",-0.7160975,
"AUS","BOP","TOT","PC_GDP","A","1976",-1.417478,
"AUS","BOP","TOT","PC_GDP","A","1977",-2.468114,
"AUS","BOP","TOT","PC_GDP","A","1978",-3.251158,
"AUS","BOP","TOT","PC_GDP","A","1979",-1.551736,
"AUS","BOP","TOT","PC_GDP","A","1980",-2.422135,
"AUS","BOP","TOT","PC_GDP","A","1981",-4.097722,
"AUS","BOP","TOT","PC_GDP","A","1982",-4.203238,
"AUS","BOP","TOT","PC_GDP","A","1983",-3.222458,
"AUS","BOP","TOT","PC_GDP","A","1984",-4.210837,
"AUS","BOP","TOT","PC_GDP","A","1985",-4.905509,
"AUS","BOP","TOT","PC_GDP","A","1986",-5.118407,
"AUS","BOP","TOT","PC_GDP","A","1987",-3.42489,
"AUS","BOP","TOT","PC_GDP","A","1988",-3.823421,
"AUS","BOP","TOT","PC_GDP","A","1989",-6.01463,
"AUS","BOP","TOT","PC_GDP","A","1990",-4.871502,
"AUS","BOP","TOT","PC_GDP","A","1991",-3.296791,
"AUS","BOP","TOT","PC_GDP","A","1992",-3.271449,
"AUS","BOP","TOT","PC_GDP","A","1993",-3.039519,
"AUS","BOP","TOT","PC_GDP","A","1994",-4.521011,
