"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1960","1960","USD","US Dollar","0","Units","2015","2015",16393.549392,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1961","1961","USD","US Dollar","0","Units","2015","2015",16214.537819,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1962","1962","USD","US Dollar","0","Units","2015","2015",16899.279909,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1963","1963","USD","US Dollar","0","Units","2015","2015",17736.141632,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1964","1964","USD","US Dollar","0","Units","2015","2015",18422.085186,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1965","1965","USD","US Dollar","0","Units","2015","2015",18492.08342,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1966","1966","USD","US Dollar","0","Units","2015","2015",19322.817512,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1967","1967","USD","US Dollar","0","Units","2015","2015",19953.754171,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1968","1968","USD","US Dollar","0","Units","2015","2015",20948.870059,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1969","1969","USD","US Dollar","0","Units","2015","2015",21978.6602,,
"AUS","Australia","B1_GE","Gross domestic product (expenditure approach)","HVPVOB","Per head, constant prices, constant PPPs, OECD base year","1970","1970","USD","US Dollar","0","Units","2015","2015",22395.18391,,
