"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOUSECOST","REAL","IDX2015","A","1970",26.5884115305306,
"AUS","HOUSECOST","REAL","IDX2015","A","1971",27.7139274879189,
"AUS","HOUSECOST","REAL","IDX2015","A","1972",29.1157915680946,
"AUS","HOUSECOST","REAL","IDX2015","A","1973",32.2666204742334,
"AUS","HOUSECOST","REAL","IDX2015","A","1974",34.2565076008805,
"AUS","HOUSECOST","REAL","IDX2015","A","1975",32.4240700997078,
"AUS","HOUSECOST","REAL","IDX2015","A","1976",31.6980630408316,
"AUS","HOUSECOST","REAL","IDX2015","A","1977",31.0907300865064,
"AUS","HOUSECOST","REAL","IDX2015","A","1978",30.1478462443737,
"AUS","HOUSECOST","REAL","IDX2015","A","1979",31.125295681335,
"AUS","HOUSECOST","REAL","IDX2015","A","1980",31.8894720066049,
"AUS","HOUSECOST","REAL","IDX2015","A","1981",33.6102973047551,
"AUS","HOUSECOST","REAL","IDX2015","A","1982",31.5585935460527,
"AUS","HOUSECOST","REAL","IDX2015","A","1983",30.5209743217723,
"AUS","HOUSECOST","REAL","IDX2015","A","1984",31.9954503003908,
"AUS","HOUSECOST","REAL","IDX2015","A","1985",33.0651045907861,
"AUS","HOUSECOST","REAL","IDX2015","A","1986",32.7078240575111,
"AUS","HOUSECOST","REAL","IDX2015","A","1987",32.0930198228008,
"AUS","HOUSECOST","REAL","IDX2015","A","1988",36.737177002507,
"AUS","HOUSECOST","REAL","IDX2015","A","1989",43.0552326179374,
"AUS","HOUSECOST","REAL","IDX2015","A","1990",41.0605950531385,
"AUS","HOUSECOST","REAL","IDX2015","A","1991",40.6055169323974,
"AUS","HOUSECOST","REAL","IDX2015","A","1992",40.461137513507,
"AUS","HOUSECOST","REAL","IDX2015","A","1993",40.6616116766348,
"AUS","HOUSECOST","REAL","IDX2015","A","1994",41.4557294438456,
"AUS","HOUSECOST","REAL","IDX2015","A","1995",40.8284912587114,
"AUS","HOUSECOST","REAL","IDX2015","A","1996",40.3828620374778,
"AUS","HOUSECOST","REAL","IDX2015","A","1997",41.4030989592211,
"AUS","HOUSECOST","REAL","IDX2015","A","1998",43.8404793118154,
"AUS","HOUSECOST","REAL","IDX2015","A","1999",46.5218534956898,
"AUS","HOUSECOST","REAL","IDX2015","A","2000",48.7015135511406,
"AUS","HOUSECOST","REAL","IDX2015","A","2001",52.3852737219403,
"AUS","HOUSECOST","REAL","IDX2015","A","2002",60.4527304188657,
"AUS","HOUSECOST","REAL","IDX2015","A","2003",69.7529024109945,
"AUS","HOUSECOST","REAL","IDX2015","A","2004",73.0255499837498,
"AUS","HOUSECOST","REAL","IDX2015","A","2005",72.7895856064278,
"AUS","HOUSECOST","REAL","IDX2015","A","2006",75.1014692802365,
"AUS","HOUSECOST","REAL","IDX2015","A","2007",80.4923155441065,
"AUS","HOUSECOST","REAL","IDX2015","A","2008",81.1244603186485,
"AUS","HOUSECOST","REAL","IDX2015","A","2009",82.2490098530317,
"AUS","HOUSECOST","REAL","IDX2015","A","2010",89.8868791268088,
"AUS","HOUSECOST","REAL","IDX2015","A","2011",85.8962837900109,
"AUS","HOUSECOST","REAL","IDX2015","A","2012",83.6014629190377,
"AUS","HOUSECOST","REAL","IDX2015","A","2013",87.0278181846587,
"AUS","HOUSECOST","REAL","IDX2015","A","2014",93.0925853051844,
"AUS","HOUSECOST","REAL","IDX2015","A","2015",100,
"AUS","HOUSECOST","REAL","IDX2015","A","2016",104.523244912009,
"AUS","HOUSECOST","REAL","IDX2015","A","2017",111.818601219111,
"AUS","HOUSECOST","REAL","IDX2015","A","2018",108.412334724557,
"AUS","HOUSECOST","REAL","IDX2015","A","2019",102.184548883481,
"AUS","HOUSECOST","REAL","IDX2015","A","2020",106.725306485002,
"AUT","HOUSECOST","REAL","IDX2015","A","2000",77.9844817617626,
"AUT","HOUSECOST","REAL","IDX2015","A","2001",76.8212386730485,
"AUT","HOUSECOST","REAL","IDX2015","A","2002",76.478951669446,
"AUT","HOUSECOST","REAL","IDX2015","A","2003",75.5234219280834,
"AUT","HOUSECOST","REAL","IDX2015","A","2004",72.8276264364407,
"AUT","HOUSECOST","REAL","IDX2015","A","2005",74.654390017124,
"AUT","HOUSECOST","REAL","IDX2015","A","2006",76.1246151100176,
"AUT","HOUSECOST","REAL","IDX2015","A","2007",77.7569808555971,
"AUT","HOUSECOST","REAL","IDX2015","A","2008",76.9782443477915,
"AUT","HOUSECOST","REAL","IDX2015","A","2009",79.7156880109305,
"AUT","HOUSECOST","REAL","IDX2015","A","2010",85.689404463833,
"AUT","HOUSECOST","REAL","IDX2015","A","2011",88.2558205997674,
"AUT","HOUSECOST","REAL","IDX2015","A","2012",92.5365408844237,
"AUT","HOUSECOST","REAL","IDX2015","A","2013",95.3297304140448,
"AUT","HOUSECOST","REAL","IDX2015","A","2014",96.7212962675649,
"AUT","HOUSECOST","REAL","IDX2015","A","2015",100,
"AUT","HOUSECOST","REAL","IDX2015","A","2016",106.983658936866,
"AUT","HOUSECOST","REAL","IDX2015","A","2017",110.685766859181,
"AUT","HOUSECOST","REAL","IDX2015","A","2018",113.579445860602,
"AUT","HOUSECOST","REAL","IDX2015","A","2019",118.142788415027,
"AUT","HOUSECOST","REAL","IDX2015","A","2020",125.508884294866,
"BEL","HOUSECOST","REAL","IDX2015","A","1970",37.6995287350496,
"BEL","HOUSECOST","REAL","IDX2015","A","1971",35.5198827187587,
"BEL","HOUSECOST","REAL","IDX2015","A","1972",36.5781589269627,
"BEL","HOUSECOST","REAL","IDX2015","A","1973",39.4033973675661,
"BEL","HOUSECOST","REAL","IDX2015","A","1974",40.1827370530013,
"BEL","HOUSECOST","REAL","IDX2015","A","1975",41.2678686599259,
"BEL","HOUSECOST","REAL","IDX2015","A","1976",46.3799194575854,
"BEL","HOUSECOST","REAL","IDX2015","A","1977",50.3912970141668,
