"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JPN","HHDI","GROSSADJ","USD_CAP","A","1994",15929.721110797,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1995",16560.1204220848,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1996",16995.5843523382,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1997",17458.446736545,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1998",17669.4061445415,
"JPN","HHDI","GROSSADJ","USD_CAP","A","1999",17952.6183658592,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2000",19094.7352159396,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2001",19220.9881340663,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2002",20305.6941613299,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2003",20986.6674174179,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2004",21809.289943023,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2005",22968.1187830738,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2006",23609.4069508992,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2007",24512.043698327,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2008",25023.5710584947,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2009",25395.4385164505,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2010",26355.5487772325,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2011",27263.8794588217,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2012",28398.0312090886,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2013",30354.2970855258,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2014",29973.823331184,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2015",30599.4788639738,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2016",29295.5059477255,
"JPN","HHDI","GROSSADJ","USD_CAP","A","2017",29891.0114151918,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1995",16263.8724760503,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1996",16949.6257405608,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1997",17895.5134181287,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1998",18861.496872337,
"NLD","HHDI","GROSSADJ","USD_CAP","A","1999",19896.8481690737,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2000",22245.419840862,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2001",23837.3771903938,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2002",25565.105484979,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2003",24506.0725748518,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2004",25475.8313844251,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2005",25671.3513664824,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2006",27650.7285671237,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2007",29169.8650543353,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2008",30385.7648249351,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2009",30163.8849125682,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2010",29947.2092533633,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2011",30360.1041808595,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2012",31072.643726386,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2013",31685.5544464571,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2014",31934.9987011428,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2015",32193.9574422192,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2016",33258.2891477411,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2017",34379.9581297719,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2018",36589.5176360275,
"NLD","HHDI","GROSSADJ","USD_CAP","A","2019",37555.8113564492,"E"
"NLD","HHDI","GROSSADJ","USD_CAP","A","2020",39000.8661202226,"E"
"CZE","HHDI","GROSSADJ","USD_CAP","A","1995",9319.80868021016,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1996",10163.9924904998,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1997",10570.8095409455,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1998",10532.3290483318,
"CZE","HHDI","GROSSADJ","USD_CAP","A","1999",10952.1279772836,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2000",11903.543341278,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2001",12980.5807666813,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2002",13688.2846122152,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2003",14253.1846741712,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2004",14874.1348012068,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2005",15267.9942358595,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2006",15924.8882677705,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2007",16982.2610385649,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2008",17934.5260469879,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2009",18656.3098090743,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2010",19250.3784123141,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2011",19394.281379418,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2012",19842.0680912546,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2013",20841.7471910034,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2014",21889.7964426235,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2015",22313.3932226,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2016",23663.6652875739,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2017",25424.300200146,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2018",26972.722622102,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2019",28130.7963397226,
"CZE","HHDI","GROSSADJ","USD_CAP","A","2020",29253.2529251533,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1995",19187.8398849317,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1996",19845.8780237008,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1997",20047.5614793324,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1998",20338.8606676772,
"DEU","HHDI","GROSSADJ","USD_CAP","A","1999",21299.5238878629,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2000",22425.0654996845,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2001",23532.211094323,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2002",24520.5793540153,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2003",25066.5057171013,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2004",25968.6924192827,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2005",26000.9486643346,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2006",26879.2204158463,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2007",27909.7644549787,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2008",29093.3431272611,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2009",29204.7717039356,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2010",30711.1222952785,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2011",32107.4926965654,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2012",33295.3906269424,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2013",34223.5237813673,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2014",35129.6869781155,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2015",35492.3964342778,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2016",37893.9618546332,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2017",39272.160169021,
"DEU","HHDI","GROSSADJ","USD_CAP","A","2018",41398.3582128554,"E"
"DEU","HHDI","GROSSADJ","USD_CAP","A","2019",42016.8138882446,"E"
"DEU","HHDI","GROSSADJ","USD_CAP","A","2020",42569.8923644363,"E"
"GRC","HHDI","GROSSADJ","USD_CAP","A","1995",13157.5371750736,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1996",13469.5050003097,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1997",13788.8945340079,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1998",14451.3219404905,
"GRC","HHDI","GROSSADJ","USD_CAP","A","1999",14579.7591875724,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2000",15707.489241211,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2001",16973.3335195373,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2002",18883.2765550998,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2003",19467.604574897,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2004",20560.3980128292,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2005",20437.1711258471,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2006",22131.0140599872,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2007",22939.3838702756,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2008",24398.7280588958,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2009",24570.897409969,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2010",22102.6136939493,"B"
"GRC","HHDI","GROSSADJ","USD_CAP","A","2011",20129.5929502622,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2012",18709.5250939706,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2013",18672.4577217443,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2014",19285.9423608952,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2015",19593.2422472153,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2016",20285.60407155,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2017",20670.2707708493,
"GRC","HHDI","GROSSADJ","USD_CAP","A","2018",21387.926775104,"E"
"GRC","HHDI","GROSSADJ","USD_CAP","A","2019",22468.7138646269,"E"
"GRC","HHDI","GROSSADJ","USD_CAP","A","2020",22350.4444104186,"E"
"PRT","HHDI","GROSSADJ","USD_CAP","A","1995",11869.8927844139,
"PRT","HHDI","GROSSADJ","USD_CAP","A","1996",12298.9972839263,
"PRT","HHDI","GROSSADJ","USD_CAP","A","1997",12833.6738168304,
"PRT","HHDI","GROSSADJ","USD_CAP","A","1998",13472.4378660059,
"PRT","HHDI","GROSSADJ","USD_CAP","A","1999",14470.6221038761,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2000",15881.4957887346,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2001",16470.7112113417,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2002",17407.1035140547,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2003",17598.201685191,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2004",18197.5159614342,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2005",18875.5536897191,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2006",19588.8632235106,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2007",20033.5700458119,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2008",20962.2802400836,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2009",21088.4336311077,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2010",21545.5042580526,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2011",20912.3618634376,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2012",20930.6640899089,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2013",21837.3289527493,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2014",21837.8311403924,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2015",22627.6719074527,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2016",23946.1021582873,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2017",24508.1272061617,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2018",26207.6476865823,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2019",27643.1545850771,
"PRT","HHDI","GROSSADJ","USD_CAP","A","2020",27198.7560626803,"E"
"AUS","HHDI","GROSSADJ","USD_CAP","A","1970",3494.21983050545,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1971",3649.86469293512,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1972",3954.30702428729,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1973",4442.26116349615,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1974",4918.34990662015,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1975",5324.04230217997,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1976",5722.13470155101,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1977",6087.21629303115,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1978",6637.4000151036,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1979",7204.52541827851,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1980",8141.66414350948,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1981",9207.21316889996,
"AUS","HHDI","GROSSADJ","USD_CAP","A","1982",9503.80559073922,
