Country;Year;Top_10%;Top_1%
Australia;1980;0.2445;0.058
Australia;1981;0.2436;0.0559
Australia;1982;0.2482;0.0561
Australia;1983;0.2438;0.056
Australia;1984;0.2482;0.0599
Australia;1985;0.2531;0.0633
Australia;1986;0.2605;0.0675
Australia;1987;0.2779;0.0796
Australia;1988;0.2948;0.0981
Australia;1989;0.2736;0.0804
Australia;1990;0.2671;0.075
Australia;1991;0.2723;0.0735
Australia;1992;0.2763;0.0766
Australia;1993;0.282;0.0817
Australia;1994;0.2865;0.0857
Australia;1995;0.282;0.0841
Australia;1996;0.2786;0.0827
Australia;1997;0.287;0.0869
Australia;1998;0.2895;0.09
Australia;1999;0.3015;0.1001
Australia;2000;0.3071;0.1059
Australia;2001;0.2933;0.0965
Australia;2002;0.3016;0.1016
Australia;2003;0.3028;0.1069
Australia;2004;0.3066;0.1116
Australia;2005;0.3118;0.1124
Australia;2006;0.3255;0.1239
Australia;2007;0.315;0.1191
Australia;2008;0.2977;0.1061
Australia;2009;0.3119;0.1127
Australia;2010;0.3137;0.1149
Australia;2011;0.3059;0.1094
Australia;2012;0.3182;0.1165
Australia;2013;0.3293;0.1248
Australia;2014;0.327;0.119
Australia;2015;0.3286;0.118
Australia;2016;0.3251;0.1144
Australia;2017;0.3356;0.128
Australia;2018;0.3366;0.1292
Australia;2019;0.336;0.1285
Austria;1980;0.3285;0.112
Austria;1981;0.3272;0.11
Austria;1982;0.3293;0.1091
Austria;1983;0.3342;0.1109
Austria;1984;0.3337;0.1107
Austria;1985;0.3322;0.1102
Austria;1986;0.3325;0.1101
Austria;1987;0.3355;0.1118
Austria;1988;0.3349;0.1117
Austria;1989;0.3357;0.1118
Austria;1990;0.3338;0.1114
Austria;1991;0.3328;0.1113
Austria;1992;0.3316;0.1108
Austria;1993;0.3323;0.1112
Austria;1994;0.333;0.1117
Austria;1995;0.3305;0.1101
Austria;1996;0.333;0.1109
Austria;1997;0.3391;0.1141
Austria;1998;0.3466;0.1188
Austria;1999;0.3294;0.1073
Austria;2000;0.3479;0.1184
Austria;2001;0.3369;0.1125
Austria;2002;0.3471;0.1156
Austria;2003;0.3614;0.1221
Austria;2004;0.3414;0.1148
Austria;2005;0.3549;0.1127
Austria;2006;0.3748;0.1331
Austria;2007;0.353;0.1149
Austria;2008;0.3553;0.1231
Austria;2009;0.3424;0.1082
Austria;2010;0.3472;0.1137
Austria;2011;0.3386;0.1111
Austria;2012;0.3189;0.0827
Austria;2013;0.3212;0.0896
Austria;2014;0.3408;0.111
Austria;2015;0.3331;0.1016
Austria;2016;0.3417;0.1108
Austria;2017;0.3338;0.0988
Austria;2018;0.3352;0.0992
Austria;2019;0.3388;0.1012
Belgium;1980;0.3223;0.0866
Belgium;1981;0.3187;0.0822
Belgium;1982;0.3155;0.0797
Belgium;1983;0.3153;0.0792
Belgium;1984;0.3128;0.075
Belgium;1985;0.3228;0.0776
Belgium;1986;0.3333;0.0819
Belgium;1987;0.3381;0.088
Belgium;1988;0.3381;0.0869
Belgium;1989;0.3349;0.0898
Belgium;1990;0.3293;0.0824
Belgium;1991;0.3241;0.078
Belgium;1992;0.3205;0.0757
Belgium;1993;0.3204;0.0756
Belgium;1994;0.3309;0.0823
Belgium;1995;0.3264;0.0808
Belgium;1996;0.3295;0.0837
Belgium;1997;0.3284;0.0826
Belgium;1998;0.3263;0.0814
Belgium;1999;0.3267;0.0821
Belgium;2000;0.3267;0.0821
Belgium;2001;0.3219;0.0797
Belgium;2002;0.3159;0.0763
Belgium;2003;0.3154;0.0767
Belgium;2004;0.322;0.0852
Belgium;2005;0.3197;0.0844
Belgium;2006;0.3241;0.0872
Belgium;2007;0.3334;0.0951
Belgium;2008;0.3172;0.085
Belgium;2009;0.3093;0.0749
Belgium;2010;0.3135;0.0763
Belgium;2011;0.3114;0.0794
Belgium;2012;0.3137;0.0817
Belgium;2013;0.3163;0.082
Belgium;2014;0.3187;0.0835
Belgium;2015;0.3183;0.0848
Belgium;2016;0.3211;0.0863
Belgium;2017;0.3183;0.085
Belgium;2018;0.3286;0.086
Belgium;2019;0.3289;0.0863
Canada;1980;0.3621;0.0918
Canada;1981;0.3492;0.0848
Canada;1982;0.3435;0.0839
Canada;1983;0.354;0.0893
Canada;1984;0.3503;0.091
Canada;1985;0.3481;0.0924
Canada;1986;0.3455;0.0913
Canada;1987;0.3505;0.1
Canada;1988;0.3545;0.1072
Canada;1989;0.3626;0.1164
Canada;1990;0.3381;0.0948
Canada;1991;0.3418;0.0922
Canada;1992;0.3492;0.0943
Canada;1993;0.3637;0.1043
Canada;1994;0.3869;0.1085
Canada;1995;0.3649;0.1054
Canada;1996;0.3718;0.1118
Canada;1997;0.3798;0.122
Canada;1998;0.3819;0.1254
Canada;1999;0.3849;0.1308
Canada;2000;0.4009;0.1475
Canada;2001;0.3915;0.1389
Canada;2002;0.39;0.1349
Canada;2003;0.3908;0.1351
Canada;2004;0.3983;0.1443
Canada;2005;0.407;0.154
Canada;2006;0.4147;0.161
Canada;2007;0.4169;0.1634
Canada;2008;0.4072;0.1509
Canada;2009;0.3935;0.1327
Canada;2010;0.4022;0.1404
Canada;2011;0.4036;0.1412
Canada;2012;0.399;0.1348
Canada;2013;0.409;0.1464
Canada;2014;0.4128;0.1513
Canada;2015;0.4132;0.1576
Canada;2016;0.3941;0.1334
Canada;2017;0.4095;0.1501
Canada;2018;0.4086;0.1493
Canada;2019;0.407;0.1479
Czech Republic;1980;0.182;0.0257
Czech Republic;1981;0.181;0.0255
Czech Republic;1982;0.1809;0.0254
Czech Republic;1983;0.1804;0.0254
Czech Republic;1984;0.1798;0.0253
Czech Republic;1985;0.1792;0.0252
Czech Republic;1986;0.1812;0.0267
Czech Republic;1987;0.182;0.0281
Czech Republic;1988;0.1835;0.0295
Czech Republic;1989;0.1966;0.0383
Czech Republic;1990;0.2087;0.0471
Czech Republic;1991;0.2356;0.0673
Czech Republic;1992;0.2623;0.0879
Czech Republic;1993;0.2842;0.1036
Czech Republic;1994;0.2979;0.1127
Czech Republic;1995;0.2938;0.1079
Czech Republic;1996;0.299;0.1095
Czech Republic;1997;0.2864;0.1007
Czech Republic;1998;0.306;0.1151
Czech Republic;1999;0.3025;0.1125
Czech Republic;2000;0.3001;0.1107
Czech Republic;2001;0.2997;0.1115
Czech Republic;2002;0.2923;0.106
Czech Republic;2003;0.2972;0.1069
Czech Republic;2004;0.2977;0.1082
Czech Republic;2005;0.3014;0.1155
Czech Republic;2006;0.3017;0.1055
Czech Republic;2007;0.3027;0.1129
Czech Republic;2008;0.3215;0.1356
Czech Republic;2009;0.2984;0.1139
Czech Republic;2010;0.2978;0.1073
Czech Republic;2011;0.29;0.1031
Czech Republic;2012;0.3033;0.1114
Czech Republic;2013;0.2966;0.1041
Czech Republic;2014;0.3029;0.1061
Czech Republic;2015;0.3072;0.1122
Czech Republic;2016;0.2979;0.1077
Czech Republic;2017;0.2953;0.1073
Czech Republic;2018;0.2877;0.102
Czech Republic;2019;0.2854;0.1002
Denmark;1980;0.26;0.0679
Denmark;1981;0.2577;0.0662
Denmark;1982;0.257;0.0682
Denmark;1983;0.27;0.0818
Denmark;1984;0.2768;0.0894
Denmark;1985;0.2823;0.0949
Denmark;1986;0.2709;0.0849
Denmark;1987;0.2724;0.084
Denmark;1988;0.2683;0.0788
Denmark;1989;0.2712;0.0818
Denmark;1990;0.2725;0.0821
Denmark;1991;0.2714;0.0818
Denmark;1992;0.273;0.0826
Denmark;1993;0.2732;0.0828
Denmark;1994;0.282;0.092
Denmark;1995;0.2836;0.0936
Denmark;1996;0.2863;0.0962
Denmark;1997;0.2981;0.1054
Denmark;1998;0.2954;0.1031
Denmark;1999;0.3097;0.1146
Denmark;2000;0.3131;0.1171
Denmark;2001;0.2959;0.1017
Denmark;2002;0.2949;0.1006
Denmark;2003;0.285;0.0923
Denmark;2004;0.2908;0.0977
Denmark;2005;0.3065;0.11
Denmark;2006;0.3108;0.1148
Denmark;2007;0.305;0.1094
Denmark;2008;0.3007;0.1037
Denmark;2009;0.29;0.095
Denmark;2010;0.3156;0.1142
Denmark;2011;0.3165;0.1146
Denmark;2012;0.3175;0.1176
Denmark;2013;0.3276;0.1221
Denmark;2014;0.3349;0.1291
Denmark;2015;0.3301;0.1273
Denmark;2016;0.333;0.1277
Denmark;2017;0.3333;0.1251
Denmark;2018;0.3328;0.1237
Denmark;2019;0.3364;0.1272
Estonia;1980;0.2335;0.0483
Estonia;1981;0.2335;0.0483
Estonia;1982;0.2335;0.0483
Estonia;1983;0.2335;0.0483
Estonia;1984;0.2335;0.0483
Estonia;1985;0.2336;0.0484
Estonia;1986;0.2336;0.0484
Estonia;1987;0.2336;0.0484
Estonia;1988;0.2336;0.0484
Estonia;1989;0.2675;0.0673
Estonia;1990;0.3072;0.0892
Estonia;1991;0.3503;0.1117
Estonia;1992;0.3657;0.1161
Estonia;1993;0.4066;0.1494
Estonia;1994;0.4043;0.1458
Estonia;1995;0.4186;0.1603
Estonia;1996;0.43;0.1742
Estonia;1997;0.4221;0.1657
Estonia;1998;0.4239;0.1615
Estonia;1999;0.4164;0.1589
Estonia;2000;0.4156;0.1558
Estonia;2001;0.4116;0.1502
Estonia;2002;0.4274;0.163
Estonia;2003;0.4297;0.1613
Estonia;2004;0.4099;0.1541
Estonia;2005;0.4472;0.1924
Estonia;2006;0.4086;0.1552
Estonia;2007;0.3947;0.1556
Estonia;2008;0.3753;0.1308
Estonia;2009;0.3439;0.095
Estonia;2010;0.359;0.1096
Estonia;2011;0.3718;0.1261
Estonia;2012;0.3912;0.1409
Estonia;2013;0.388;0.1282
Estonia;2014;0.3841;0.13
Estonia;2015;0.3579;0.1114
Estonia;2016;0.3621;0.123
Estonia;2017;0.3534;0.1274
Estonia;2018;0.3595;0.1302
Estonia;2019;0.3462;0.1165
Finland;1980;0.2707;0.0638
Finland;1981;0.2617;0.0545
